,zone,datetime,updatedAt,createdAt,powerConsumptionBreakdown,powerProductionBreakdown,powerImportBreakdown,powerExportBreakdown,fossilFreePercentage,renewablePercentage,powerConsumptionTotal,powerProductionTotal,powerImportTotal,powerExportTotal,isEstimated,estimationMethod
0,DE,2025-01-03 19:00:00,2025-01-04T00:47:16.119Z,2024-12-31T19:46:29.490Z,"{'nuclear': 133, 'geothermal': 22, 'biomass': 3925, 'coal': 12016, 'wind': 26676, 'solar': 0, 'hydro': 1912, 'gas': 7589, 'oil': 312, 'unknown': 251, 'hydro discharge': 548, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4667, 'coal': 14616, 'wind': 31840, 'solar': 0, 'hydro': 1171, 'gas': 9248, 'oil': 374, 'unknown': 246, 'hydro discharge': 545, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 0, 'FR': 0, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 664, 'NO-NO2': 1069, 'SE-SE4': 617}","{'AT': 1776, 'BE': 1000, 'CH': 2429, 'CZ': 835, 'FR': 1788, 'LU': 593, 'NL': 1497, 'PL': 1515, 'DK-DK1': 265, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",62,62,53385,62733,2350,11697,False,
1,DE,2025-01-03 20:00:00,2025-01-04T00:47:16.119Z,2024-12-31T20:45:34.039Z,"{'nuclear': 147, 'geothermal': 22, 'biomass': 3789, 'coal': 12390, 'wind': 25714, 'solar': 0, 'hydro': 1852, 'gas': 6918, 'oil': 304, 'unknown': 249, 'hydro discharge': 36, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4617, 'coal': 15428, 'wind': 31421, 'solar': 0, 'hydro': 1138, 'gas': 8622, 'oil': 374, 'unknown': 251, 'hydro discharge': -326, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 0, 'FR': 0, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 664, 'NO-NO2': 1025, 'SE-SE4': 617}","{'AT': 2126, 'BE': 997, 'CH': 2991, 'CZ': 628, 'FR': 1998, 'LU': 566, 'NL': 1511, 'PL': 1375, 'DK-DK1': 246, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",61,61,51421,61878,2306,12437,False,
2,DE,2025-01-03 21:00:00,2025-01-04T00:47:16.119Z,2024-12-31T21:45:46.606Z,"{'nuclear': 152, 'geothermal': 21, 'biomass': 3732, 'coal': 12226, 'wind': 23906, 'solar': 0, 'hydro': 1887, 'gas': 6512, 'oil': 301, 'unknown': 244, 'hydro discharge': 56, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4593, 'coal': 15380, 'wind': 29502, 'solar': 0, 'hydro': 1161, 'gas': 8199, 'oil': 374, 'unknown': 251, 'hydro discharge': -400, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 0, 'FR': 0, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 664, 'NO-NO2': 1042, 'SE-SE4': 617}","{'AT': 2067, 'BE': 996, 'CH': 3012, 'CZ': 367, 'FR': 1939, 'LU': 551, 'NL': 1646, 'PL': 1204, 'DK-DK1': 593, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",61,60,49037,59487,2323,12374,False,
3,DE,2025-01-03 22:00:00,2025-01-04T01:47:11.439Z,2024-12-31T22:44:27.588Z,"{'nuclear': 156, 'geothermal': 21, 'biomass': 3733, 'coal': 12350, 'wind': 22257, 'solar': 0, 'hydro': 1897, 'gas': 5728, 'oil': 299, 'unknown': 242, 'hydro discharge': 45, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4614, 'coal': 15632, 'wind': 27611, 'solar': 0, 'hydro': 1186, 'gas': 7256, 'oil': 374, 'unknown': 251, 'hydro discharge': -625, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 0, 'FR': 0, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 664, 'NO-NO2': 1049, 'SE-SE4': 617}","{'AT': 1850, 'BE': 1000, 'CH': 3089, 'CZ': 2, 'FR': 2240, 'LU': 537, 'NL': 1807, 'PL': 788, 'DK-DK1': 613, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",60,60,46729,56950,2330,11926,False,
4,DE,2025-01-03 23:00:00,2025-01-04T07:46:46.012Z,2024-12-31T23:46:37.884Z,"{'nuclear': 196, 'geothermal': 21, 'biomass': 3752, 'coal': 11518, 'wind': 20903, 'solar': 0, 'hydro': 1817, 'gas': 5274, 'oil': 300, 'unknown': 254, 'hydro discharge': 40, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4629, 'coal': 14503, 'wind': 25849, 'solar': 0, 'hydro': 1163, 'gas': 6668, 'oil': 374, 'unknown': 260, 'hydro discharge': -423, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 127, 'FR': 0, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 668, 'NO-NO2': 976, 'SE-SE4': 617}","{'AT': 1790, 'BE': 928, 'CH': 2801, 'CZ': 0, 'FR': 1818, 'LU': 557, 'NL': 2074, 'PL': 704, 'DK-DK1': 691, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",61,60,44075,53472,2388,11362,False,
5,DE,2025-01-04 00:00:00,2025-01-04T07:46:50.550Z,2025-01-01T00:47:14.360Z,"{'nuclear': 230, 'geothermal': 21, 'biomass': 3702, 'coal': 11526, 'wind': 19195, 'solar': 0, 'hydro': 1819, 'gas': 5213, 'oil': 299, 'unknown': 285, 'hydro discharge': 40, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4589, 'coal': 14521, 'wind': 23843, 'solar': 0, 'hydro': 1190, 'gas': 6612, 'oil': 374, 'unknown': 301, 'hydro discharge': -1393, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 243, 'FR': 0, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 592, 'NO-NO2': 972, 'SE-SE4': 617}","{'AT': 1914, 'BE': 867, 'CH': 2696, 'CZ': 0, 'FR': 1461, 'LU': 508, 'NL': 1490, 'PL': 642, 'DK-DK1': 583, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",59,59,42330,51457,2425,10159,False,
6,DE,2025-01-04 01:00:00,2025-01-04T07:46:46.012Z,2025-01-01T01:44:18.884Z,"{'nuclear': 154, 'geothermal': 22, 'biomass': 3752, 'coal': 11967, 'wind': 17026, 'solar': 0, 'hydro': 1864, 'gas': 5307, 'oil': 306, 'unknown': 307, 'hydro discharge': 42, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4554, 'coal': 14790, 'wind': 20634, 'solar': 0, 'hydro': 1211, 'gas': 6559, 'oil': 374, 'unknown': 327, 'hydro discharge': -681, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 0, 'FR': 0, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 414, 'NO-NO2': 973, 'SE-SE4': 617}","{'AT': 1709, 'BE': 775, 'CH': 1830, 'CZ': 171, 'FR': 829, 'LU': 536, 'NL': 2145, 'PL': 545, 'DK-DK1': 511, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",56,56,40747,48475,2003,9050,False,
7,DE,2025-01-04 02:00:00,2025-01-04T09:46:04.447Z,2025-01-01T02:45:01.799Z,"{'nuclear': 370, 'geothermal': 23, 'biomass': 3898, 'coal': 12647, 'wind': 15043, 'solar': 0, 'hydro': 1974, 'gas': 5559, 'oil': 321, 'unknown': 312, 'hydro discharge': 49, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4517, 'coal': 15072, 'wind': 17499, 'solar': 0, 'hydro': 1199, 'gas': 6614, 'oil': 374, 'unknown': 315, 'hydro discharge': -469, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 0, 'FR': 310, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 553, 'NO-NO2': 973, 'SE-SE4': 617}","{'AT': 1623, 'BE': 934, 'CH': 1317, 'CZ': 176, 'FR': 0, 'LU': 541, 'NL': 2139, 'PL': 379, 'DK-DK1': 295, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",53,52,40196,45616,2453,7404,False,
8,DE,2025-01-04 03:00:00,2025-01-04T13:48:37.450Z,2025-01-01T03:48:21.528Z,"{'nuclear': 774, 'geothermal': 23, 'biomass': 4051, 'coal': 13413, 'wind': 13388, 'solar': 0, 'hydro': 2103, 'gas': 5885, 'oil': 334, 'unknown': 342, 'hydro discharge': 159, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4549, 'coal': 15581, 'wind': 15093, 'solar': 0, 'hydro': 1185, 'gas': 6803, 'oil': 374, 'unknown': 336, 'hydro discharge': -16, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 0, 'FR': 908, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 638, 'NO-NO2': 976, 'SE-SE4': 617}","{'AT': 1523, 'BE': 757, 'CH': 1043, 'CZ': 195, 'FR': 0, 'LU': 520, 'NL': 1874, 'PL': 599, 'DK-DK1': 88, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",51,49,40472,43948,3139,6599,False,
9,DE,2025-01-04 04:00:00,2025-01-04T09:45:59.481Z,2025-01-01T04:46:49.050Z,"{'nuclear': 1097, 'geothermal': 24, 'biomass': 4139, 'coal': 14342, 'wind': 11270, 'solar': 0, 'hydro': 2336, 'gas': 6329, 'oil': 345, 'unknown': 352, 'hydro discharge': 220, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4533, 'coal': 16238, 'wind': 12246, 'solar': 0, 'hydro': 1171, 'gas': 7105, 'oil': 374, 'unknown': 336, 'hydro discharge': 154, 'battery discharge': None}","{'AT': 0, 'BE': 0, 'CH': 0, 'CZ': 0, 'FR': 1396, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 208, 'DK-DK2': 506, 'NO-NO2': 1061, 'SE-SE4': 617}","{'AT': 1480, 'BE': 675, 'CH': 900, 'CZ': 137, 'FR': 0, 'LU': 465, 'NL': 1302, 'PL': 560, 'DK-DK1': 0, 'DK-DK2': 0, 'NO-NO2': 0, 'SE-SE4': 0}",47,45,40454,42183,3788,5518,False,
