,zone,datetime,updatedAt,createdAt,powerConsumptionBreakdown,powerProductionBreakdown,powerImportBreakdown,powerExportBreakdown,fossilFreePercentage,renewablePercentage,powerConsumptionTotal,powerProductionTotal,powerImportTotal,powerExportTotal,isEstimated,estimationMethod
0,DE,2025-01-05 11:00:00,2025-01-06T00:47:41.412Z,2025-01-02T11:49:15.938Z,"{'nuclear': 2162, 'geothermal': 23, 'biomass': 4013, 'coal': 9230, 'wind': 25844, 'solar': 1863, 'hydro': 2238, 'gas': 6065, 'oil': 329, 'unknown': 226, 'hydro discharge': 577, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4588, 'coal': 10700, 'wind': 28961, 'solar': 1925, 'hydro': 1393, 'gas': 6931, 'oil': 376, 'unknown': 251, 'hydro discharge': 598, 'battery discharge': None}","{'AT': 0, 'CH': 377, 'CZ': 0, 'FR': 3891, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 0, 'NO-NO2': 923}","{'AT': 1605, 'CH': 0, 'CZ': 1908, 'FR': 0, 'LU': 415, 'NL': 64, 'PL': 1855, 'DK-DK1': 1523, 'DK-DK2': 1000, 'NO-NO2': 0}",70,66,52571,55749,5191,8369,False,
1,DE,2025-01-05 12:00:00,2025-01-06T00:47:41.412Z,2025-01-02T12:46:18.761Z,"{'nuclear': 2058, 'geothermal': 23, 'biomass': 3904, 'coal': 7803, 'wind': 25884, 'solar': 1887, 'hydro': 2092, 'gas': 6037, 'oil': 321, 'unknown': 217, 'hydro discharge': 762, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4584, 'coal': 9281, 'wind': 29780, 'solar': 2028, 'hydro': 1342, 'gas': 7083, 'oil': 376, 'unknown': 251, 'hydro discharge': 745, 'battery discharge': None}","{'AT': 0, 'CH': 201, 'CZ': 0, 'FR': 3879, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 0, 'NO-NO2': 910}","{'AT': 1669, 'CH': 0, 'CZ': 2162, 'FR': 0, 'LU': 405, 'NL': 569, 'PL': 2087, 'DK-DK1': 1608, 'DK-DK2': 999, 'NO-NO2': 0}",72,68,50988,55496,4990,9498,False,
2,DE,2025-01-05 13:00:00,2025-01-06T00:47:25.948Z,2025-01-02T13:47:42.821Z,"{'nuclear': 2044, 'geothermal': 23, 'biomass': 3931, 'coal': 7402, 'wind': 26643, 'solar': 1363, 'hydro': 2075, 'gas': 5814, 'oil': 319, 'unknown': 246, 'hydro discharge': 213, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4643, 'coal': 8858, 'wind': 30884, 'solar': 1441, 'hydro': 1393, 'gas': 6861, 'oil': 376, 'unknown': 287, 'hydro discharge': -2, 'battery discharge': None}","{'AT': 0, 'CH': 241, 'CZ': 0, 'FR': 3838, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 0, 'NO-NO2': 854}","{'AT': 1562, 'CH': 0, 'CZ': 2395, 'FR': 0, 'LU': 383, 'NL': 473, 'PL': 2065, 'DK-DK1': 1759, 'DK-DK2': 991, 'NO-NO2': 0}",72,68,50072,54769,4933,9628,False,
3,DE,2025-01-05 14:00:00,2025-01-06T08:47:42.447Z,2025-01-02T14:44:00.669Z,"{'nuclear': 2337, 'geothermal': 23, 'biomass': 4035, 'coal': 6858, 'wind': 28563, 'solar': 633, 'hydro': 1997, 'gas': 5983, 'oil': 323, 'unknown': 287, 'hydro discharge': 53, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4675, 'coal': 8080, 'wind': 32240, 'solar': 582, 'hydro': 1389, 'gas': 6773, 'oil': 376, 'unknown': 314, 'hydro discharge': -374, 'battery discharge': None}","{'AT': 0, 'CH': 298, 'CZ': 0, 'FR': 4096, 'LU': 0, 'NL': 991, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 0, 'NO-NO2': 653, 'SE-SE4': 0}","{'AT': 1141, 'CH': 0, 'CZ': 2575, 'FR': 0, 'LU': 245, 'NL': 0, 'PL': 2045, 'DK-DK1': 1662, 'DK-DK2': 931, 'NO-NO2': 0, 'SE-SE4': 426}",74,69,51092,54453,6038,9025,False,
4,DE,2025-01-05 15:00:00,2025-01-06T08:48:01.946Z,2025-01-02T15:46:03.775Z,"{'nuclear': 2136, 'geothermal': 23, 'biomass': 4093, 'coal': 6793, 'wind': 30888, 'solar': 103, 'hydro': 1960, 'gas': 6025, 'oil': 325, 'unknown': 305, 'hydro discharge': 58, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4715, 'coal': 7951, 'wind': 34854, 'solar': 59, 'hydro': 1357, 'gas': 6782, 'oil': 376, 'unknown': 333, 'hydro discharge': -399, 'battery discharge': None}","{'AT': 0, 'CH': 276, 'CZ': 0, 'FR': 3694, 'LU': 0, 'NL': 938, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 0, 'NO-NO2': 636, 'SE-SE4': 0}","{'AT': 1184, 'CH': 0, 'CZ': 2556, 'FR': 0, 'LU': 231, 'NL': 0, 'PL': 2171, 'DK-DK1': 1438, 'DK-DK2': 812, 'NO-NO2': 0, 'SE-SE4': 501}",74,70,52707,56454,5544,8892,False,
5,DE,2025-01-05 16:00:00,2025-01-06T00:47:41.412Z,2025-01-02T16:45:54.593Z,"{'nuclear': 2361, 'geothermal': 23, 'biomass': 4206, 'coal': 6480, 'wind': 32607, 'solar': 16, 'hydro': 2264, 'gas': 6244, 'oil': 332, 'unknown': 316, 'hydro discharge': 144, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4752, 'coal': 7454, 'wind': 36435, 'solar': 0, 'hydro': 1376, 'gas': 7080, 'oil': 376, 'unknown': 340, 'hydro discharge': 4, 'battery discharge': None}","{'AT': 0, 'CH': 548, 'CZ': 0, 'FR': 3967, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 0, 'NO-NO2': 871, 'SE-SE4': 0}","{'AT': 989, 'CH': 0, 'CZ': 2427, 'FR': 0, 'LU': 192, 'NL': 863, 'PL': 2144, 'DK-DK1': 1297, 'DK-DK2': 249, 'NO-NO2': 0, 'SE-SE4': 73}",76,71,54995,57843,5385,8234,False,
6,DE,2025-01-05 17:00:00,2025-01-06T00:47:25.948Z,2025-01-02T17:44:48.461Z,"{'nuclear': 1975, 'geothermal': 24, 'biomass': 4269, 'coal': 6351, 'wind': 33300, 'solar': 6, 'hydro': 2199, 'gas': 6232, 'oil': 339, 'unknown': 311, 'hydro discharge': 392, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4736, 'coal': 7181, 'wind': 36705, 'solar': 0, 'hydro': 1342, 'gas': 6968, 'oil': 376, 'unknown': 342, 'hydro discharge': 329, 'battery discharge': None}","{'AT': 0, 'CH': 213, 'CZ': 0, 'FR': 3510, 'LU': 0, 'NL': 0, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 204, 'NO-NO2': 873}","{'AT': 1302, 'CH': 0, 'CZ': 2328, 'FR': 0, 'LU': 237, 'NL': 165, 'PL': 2055, 'DK-DK1': 1322, 'DK-DK2': 0, 'NO-NO2': 0}",76,73,55398,58007,4800,7408,False,
7,DE,2025-01-05 18:00:00,2025-01-06T08:48:09.398Z,2025-01-02T18:46:20.299Z,"{'nuclear': 1840, 'geothermal': 24, 'biomass': 4260, 'coal': 5832, 'wind': 33168, 'solar': 0, 'hydro': 2187, 'gas': 5699, 'oil': 337, 'unknown': 313, 'hydro discharge': 164, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4746, 'coal': 6603, 'wind': 36433, 'solar': 0, 'hydro': 1349, 'gas': 6287, 'oil': 376, 'unknown': 342, 'hydro discharge': -129, 'battery discharge': None}","{'AT': 0, 'CH': 108, 'CZ': 0, 'FR': 3299, 'LU': 0, 'NL': 538, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 157, 'NO-NO2': 886}","{'AT': 1574, 'CH': 0, 'CZ': 2341, 'FR': 0, 'LU': 231, 'NL': 0, 'PL': 1856, 'DK-DK1': 1198, 'DK-DK2': 0, 'NO-NO2': 0}",77,74,53824,56163,4988,7199,False,
8,DE,2025-01-05 19:00:00,2025-01-06T08:48:01.946Z,2025-01-02T19:47:13.067Z,"{'nuclear': 1854, 'geothermal': 24, 'biomass': 4186, 'coal': 5173, 'wind': 32340, 'solar': 0, 'hydro': 2048, 'gas': 5298, 'oil': 332, 'unknown': 284, 'hydro discharge': 70, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4731, 'coal': 5908, 'wind': 35704, 'solar': 0, 'hydro': 1360, 'gas': 5849, 'oil': 376, 'unknown': 312, 'hydro discharge': -266, 'battery discharge': None}","{'AT': 0, 'CH': 0, 'CZ': 0, 'FR': 3313, 'LU': 0, 'NL': 777, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 0, 'NO-NO2': 780}","{'AT': 1838, 'CH': 453, 'CZ': 2230, 'FR': 0, 'LU': 197, 'NL': 0, 'PL': 1722, 'DK-DK1': 641, 'DK-DK2': 182, 'NO-NO2': 0}",79,75,51609,54265,4871,7261,False,
9,DE,2025-01-05 20:00:00,2025-01-06T08:48:01.946Z,2025-01-02T20:46:03.957Z,"{'nuclear': 1668, 'geothermal': 23, 'biomass': 4091, 'coal': 4889, 'wind': 31333, 'solar': 0, 'hydro': 2075, 'gas': 5340, 'oil': 328, 'unknown': 277, 'hydro discharge': 32, 'battery discharge': 0}","{'nuclear': None, 'geothermal': 27, 'biomass': 4691, 'coal': 5665, 'wind': 35085, 'solar': 0, 'hydro': 1388, 'gas': 6010, 'oil': 376, 'unknown': 310, 'hydro discharge': -618, 'battery discharge': None}","{'AT': 0, 'CH': 0, 'CZ': 0, 'FR': 3058, 'LU': 0, 'NL': 692, 'PL': 0, 'DK-DK1': 0, 'DK-DK2': 3, 'NO-NO2': 885}","{'AT': 2053, 'CH': 1211, 'CZ': 1896, 'FR': 0, 'LU': 212, 'NL': 0, 'PL': 1865, 'DK-DK1': 279, 'DK-DK2': 0, 'NO-NO2': 0}",78,75,50055,53551,4638,7514,False,
