,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,133,22,3925,12016,26676,0,1912,7589,312,251,548,0,2025-01-03 19:00:00
1,147,22,3789,12390,25714,0,1852,6918,304,249,36,0,2025-01-03 20:00:00
2,152,21,3732,12226,23906,0,1887,6512,301,244,56,0,2025-01-03 21:00:00
3,156,21,3733,12350,22257,0,1897,5728,299,242,45,0,2025-01-03 22:00:00
4,196,21,3752,11518,20903,0,1817,5274,300,254,40,0,2025-01-03 23:00:00
5,230,21,3702,11526,19195,0,1819,5213,299,285,40,0,2025-01-04 00:00:00
6,154,22,3752,11967,17026,0,1864,5307,306,307,42,0,2025-01-04 01:00:00
7,370,23,3898,12647,15043,0,1974,5559,321,312,49,0,2025-01-04 02:00:00
8,774,23,4051,13413,13388,0,2103,5885,334,342,159,0,2025-01-04 03:00:00
9,1097,24,4139,14342,11270,0,2336,6329,345,352,220,0,2025-01-04 04:00:00
10,1147,24,4162,14992,10296,0,2665,6889,346,363,205,0,2025-01-04 05:00:00
11,1448,25,4316,15790,9978,1,2866,7618,361,377,256,0,2025-01-04 06:00:00
12,1665,25,4386,16112,9936,344,3009,8534,369,391,1282,0,2025-01-04 07:00:00
13,1778,25,4449,16637,10220,2212,2934,9039,369,410,1509,0,2025-01-04 08:00:00
14,1653,25,4495,17124,9760,4334,2787,9039,368,420,1322,0,2025-01-04 09:00:00
15,1625,26,4541,17185,10586,5760,2753,9120,371,426,794,0,2025-01-04 10:00:00
16,1720,26,4668,17748,9892,6219,2806,9357,379,447,217,0,2025-01-04 11:00:00
17,1713,25,4493,16719,10014,5210,2748,9406,364,413,1092,0,2025-01-04 12:00:00
18,2117,25,4486,16304,9837,3586,2870,9977,360,410,1408,0,2025-01-04 13:00:00
19,2509,24,4457,15878,9853,1559,3127,10176,350,410,3383,0,2025-01-04 14:00:00
20,2933,24,4496,15734,10430,200,3297,10106,348,418,4632,0,2025-01-04 15:00:00
21,3040,24,4611,16057,11047,23,3443,10367,352,457,5982,0,2025-01-04 16:00:00
22,2422,25,4636,16362,11312,13,3236,10315,356,414,5339,0,2025-01-04 17:00:00
23,2295,25,4609,16263,11386,0,3206,10219,357,432,5318,0,2025-01-04 18:00:00
